feature,mean,scale
like_mean_diff1,-0.02052847889175638,0.5443655426532861
like_mean_diff4,-0.08519279195902284,0.6665392185969818
avg_sentiment_lag1,0.032015099587005186,0.016994846328805786
avg_sentiment_lag4,0.0310883257984977,0.015631373531900125
avg_sentiment_diff1,0.0005828039005696157,0.02107487857656108
avg_sentiment_diff4,0.0015855397786613675,0.02228415306514031
median_sentiment_lag1,0.0,1.0
median_sentiment_lag4,0.0,1.0
median_sentiment_diff1,0.0,1.0
median_sentiment_diff4,0.0,1.0
std_sentiment_lag1,0.21500726875143822,0.09174904175694605
std_sentiment_lag4,0.20823260356186724,0.08122029732833577
std_sentiment_diff1,0.0023561724227108356,0.08398045462104695
std_sentiment_diff4,0.009583126918609242,0.08879193777547076
positive_ratio_lag1,0.10801151257379109,0.0731992089827803
positive_ratio_lag4,0.10157352556136369,0.06089635065907023
positive_ratio_diff1,0.0026806649068236367,0.042433197707601886
positive_ratio_diff4,0.009624114951263729,0.05463959771498276
negative_ratio_lag1,0.052436636561583504,0.0682316264970213
negative_ratio_lag4,0.046638079015822495,0.057552128304051514
negative_ratio_diff1,0.0019346208998110431,0.04403854516272193
negative_ratio_diff4,0.008201028269547044,0.0471993679376389
neutral_ratio_lag1,0.8395518508646255,0.13967980912872532
neutral_ratio_lag4,0.851788395422814,0.11646113929562049
neutral_ratio_diff1,-0.004615285806634678,0.08103982590809873
neutral_ratio_diff4,-0.017825143220810767,0.09670766955007386
neutral_ratio_qoq_pct,-9.989864869434973e-05,0.11745612863818737
neutral_ratio_yoy_pct,-0.02012361195928832,0.11866102768753962
net_sentiment_lag1,0.05557487601220755,0.02273563331051924
net_sentiment_lag4,0.05493544654554117,0.02186387490366207
net_sentiment_diff1,0.0007460440070125936,0.030207384399648225
net_sentiment_diff4,0.0014230866817166842,0.03277435879661498
weighted_sentiment_like_lag1,0.026192569130608932,0.029823404650396915
weighted_sentiment_like_lag4,0.0256848915860636,0.028917533830116682
weighted_sentiment_like_diff1,0.00019267688907857226,0.04572907632155361
weighted_sentiment_like_diff4,0.0006976326806833015,0.04666500800820759
p10_sentiment_lag1,-0.044507073170731715,0.158419519741259
p10_sentiment_lag4,-0.03065141666666667,0.13220536352825643
p10_sentiment_diff1,-0.004692682926829268,0.08730159642771543
p10_sentiment_diff4,-0.019778333333333332,0.1094633330812072
p90_sentiment_lag1,0.0729029268292683,0.20713311848606158
p90_sentiment_lag4,0.05516416666666667,0.17436064581032176
p90_sentiment_diff1,0.0063725203252032615,0.08957799495405948
p90_sentiment_diff4,0.02609316666666668,0.12388495883592798
